indice,titulo,clasificacion,fecha_de_estreno,elenco,duracion,duracion_cantidad,duracion_minOSeason,lista_de_generos,plataforma
20497,Big Kill,movie,2018,"Christoph Sanders, Jason Patric, Clint Glenn Hummel, Lou Diamond Phillips, Danny Trejo, Scott Martin, Elizabeth McLaughlin, Stephanie Beran, K.C. Clyde, Michael Paré",126 min,126,min,action & adventure,netflix
20498,Big Time,movie,2017,Bjarke Ingels,90 min,90,min,documentaries,netflix
20499,Bigger Fatter Liar,movie,2017,"Ricky Garcia, Jodelle Ferland, Barry Bostwick, Fiona Vroom, Kevin O'Grady, Karen Holness",95 min,95,min,"children & family movies, comedies",netflix
20500,Biggie & Tupac,movie,2002,Nick Broomfield,108 min,108,min,"documentaries, music & musicals",netflix
20501,Bill Burr: Let It Go,movie,2010,Bill Burr,65 min,65,min,stand-up comedy,netflix
20502,Billy Elliot,movie,2000,"Jamie Bell, Gary Lewis, Stuart Wells, Billy Fane, Colin MacLachlan, Nicola Blackwell, Carol McGuigan, Joe Renton, Janine Birkett, Charlie Hardwick, Mike Elliot, Jean Heywood, Jamie Draven, Julie Walters, Trevor Fox, Adam Cooper",110 min,110,min,"dramas, independent movies, international movies",netflix
20503,Billy Graham: An Extraordinary Journey,movie,2018,"Billy Graham, Jeff Hoyt, Tom Brokaw, Greta Van Susteren, Diane Sawyer, Larry King, George Bush Sr., George W. Bush, Bill Clinton, Franklin Graham",66 min,66,min,"documentaries, faith & spirituality",netflix
20504,Bilu Rakkhosh,movie,2017,"Joy Sengupta, Koneenica Banerjee, Kanchana Moitra, Pradip Mukherjee",127 min,127,min,"dramas, international movies",netflix
20505,Bioscope,movie,2015,"Nina Kulkarni, Suhas Palshikar, Kushal Badrike, Spruha Joshi, Mangesh Desai, Smita Tambe, Veena Jamkar, Sandeep Khare",131 min,131,min,"dramas, international movies, lgbtq movies",netflix
20506,Birthmarked,movie,2018,"Toni Collette, Matthew Goode, Andreas Apergis, Michael Smiley, Fionnula Flanagan, Suzanne Clément, Jordan Poole, Megan O'Kelly, Anton Gillis-Adelman, Tyrone Benskin, Vincent Hoss-Desmarais",88 min,88,min,"comedies, independent movies, international movies",netflix
